Member_number,Date,itemDescription,Price
4245,04-06-2015,bottled water,3.73
1851,29-06-2015,berries,2.94
1788,20-12-2015,dessert,3.96
3166,15-01-2015,pip fruit,1.80
4108,27-09-2015,pork,1.35
4078,25-04-2015,frankfurter,2.00
1784,26-09-2015,bottled water,3.73
4001,21-06-2015,tropical fruit,1.50
3202,14-11-2015,pip fruit,1.80
1939,15-07-2015,tropical fruit,1.50
2530,30-08-2015,bottled beer,3.07
2893,12-12-2015,candles,3.52
3666,16-02-2015,spread cheese,4.41
1123,12-11-2015,pork,1.35
1098,07-05-2015,canned beer,2.50
4319,21-05-2015,pork,1.35
4761,01-03-2015,beverages,3.40
3790,26-07-2015,sausage,2.75
4296,28-07-2015,tropical fruit,1.50
4450,30-07-2015,UHT-milk,2.50
2434,18-09-2015,soda,1.99
3779,10-11-2015,ham,2.59
1613,03-08-2015,white wine,3.33
3209,28-12-2015,UHT-milk,2.50
4895,07-09-2015,sausage,2.75
1654,25-03-2015,whisky,1.12
1126,29-04-2015,misc. beverages,3.47
1254,19-04-2015,white wine,3.33
3168,02-05-2015,soda,1.99
1892,30-09-2015,margarine,1.30
1936,20-05-2015,other vegetables,2.50
3132,30-07-2015,chicken,3.67
4316,11-01-2015,other vegetables,2.50
4375,05-10-2015,sausage,2.75
3468,08-07-2015,pastry,4.81
2488,19-08-2015,processed cheese,1.71
1769,30-12-2015,rolls/buns,1.00
4937,10-04-2015,chicken,3.67
3389,17-08-2015,berries,2.94
1439,13-08-2015,frankfurter,2.00
2542,24-11-2015,whole milk,1.20
2065,22-01-2015,pip fruit,1.80
3830,10-07-2015,soda,1.99
3686,01-04-2015,soda,1.99
2774,28-10-2015,yogurt,1.80
2204,16-07-2015,pork,1.35
4833,10-03-2015,onions,1.84
1477,08-02-2015,liquor,1.80
4697,11-09-2015,onions,1.84
2435,29-09-2015,beef,4.50
2164,19-03-2015,rolls/buns,1.00
3557,02-02-2015,frankfurter,2.00
4319,08-11-2015,sausage,2.75
3615,13-08-2015,whole milk,1.20
1902,21-10-2015,pork,1.35
4390,20-01-2015,whole milk,1.20
1985,26-11-2015,bottled water,3.73
1265,29-09-2015,shopping bags,0.50
2023,31-08-2015,citrus fruit,1.70
4288,25-09-2015,meat,5.16
2261,29-06-2015,sausage,2.75
3073,17-01-2015,berries,2.94
2406,04-09-2015,canned beer,2.50
3983,20-07-2015,chicken,3.67
1737,23-01-2015,whole milk,1.20
1304,30-04-2015,rolls/buns,1.00
4227,20-08-2015,hamburger meat,2.11
3987,17-06-2015,citrus fruit,1.70
4127,12-11-2015,bottled beer,3.07
1734,20-03-2015,beef,4.50
2770,15-07-2015,yogurt,1.80
1454,13-01-2015,meat,5.16
2256,21-08-2015,pastry,4.81
2625,18-11-2015,other vegetables,2.50
4335,05-12-2015,tidbits,4.41
3738,24-05-2015,potato products,4.96
2394,19-08-2015,waffles,2.24
1927,15-05-2015,tropical fruit,1.50
3681,14-10-2015,whole milk,1.20
2435,30-08-2015,bottled beer,3.07
1728,15-08-2015,soda,1.99
4708,14-04-2015,meat,5.16
1010,31-07-2015,pip fruit,1.80
3735,20-04-2015,rolls/buns,1.00
3331,19-05-2015,frankfurter,2.00
2383,05-10-2015,soda,1.99
1160,20-11-2015,pip fruit,1.80
4890,22-04-2015,rolls/buns,1.00
3513,29-05-2015,onions,1.84
2525,14-01-2015,whole milk,1.20
3708,03-09-2015,pastry,4.81
4746,06-06-2015,ham,2.59
4784,11-09-2015,root vegetables,2.20
2051,02-01-2015,photo/film,4.32
4745,12-04-2015,bottled beer,3.07
4364,17-01-2015,dessert,3.96
1493,23-02-2015,beverages,3.40
1330,18-05-2015,chicken,3.67
1777,10-07-2015,whole milk,1.20
2633,10-07-2015,hard cheese,3.71
1917,23-01-2015,pork,1.35
4891,09-01-2015,soda,1.99
3828,15-06-2015,yogurt,1.80
2282,11-05-2015,citrus fruit,1.70
2743,10-08-2015,soda,1.99
2704,18-11-2015,frankfurter,2.00
4170,11-07-2015,ice cream,4.55
3867,07-09-2015,brown bread,2.45
2592,23-04-2015,sugar,1.95
1894,03-10-2015,other vegetables,2.50
2348,08-09-2015,newspapers,4.71
3747,24-02-2015,nuts/prunes,2.09
4220,21-08-2015,yogurt,1.80
4504,04-09-2015,root vegetables,2.20
3175,23-11-2015,chicken,3.67
4240,28-06-2015,other vegetables,2.50
4608,25-11-2015,fruit/vegetable juice,2.00
3053,03-12-2015,hamburger meat,2.11
4096,29-06-2015,hamburger meat,2.11
2517,28-01-2015,sausage,2.75
1899,24-10-2015,pastry,4.81
2934,11-05-2015,root vegetables,2.20
2508,27-12-2015,soda,1.99
1527,14-05-2015,UHT-milk,2.50
1431,07-11-2015,citrus fruit,1.70
4148,09-02-2015,sausage,2.75
3862,05-03-2015,condensed milk,3.61
3402,11-04-2015,frozen meals,2.18
3178,08-12-2015,dessert,3.96
2134,26-09-2015,beef,4.50
1038,23-04-2015,pip fruit,1.80
4780,19-09-2015,soda,1.99
1251,26-11-2015,canned beer,2.50
4293,30-09-2015,mayonnaise,2.64
3676,24-10-2015,sausage,2.75
2992,09-11-2015,pip fruit,1.80
4124,22-05-2015,whole milk,1.20
4756,18-09-2015,tropical fruit,1.50
1422,04-10-2015,pip fruit,1.80
1229,20-03-2015,ham,2.59
4733,19-01-2015,pip fruit,1.80
2053,17-09-2015,cereals,2.69
4230,15-03-2015,sausage,2.75
3968,12-11-2015,dessert,3.96
4935,02-04-2015,tropical fruit,1.50
2290,12-01-2015,whole milk,1.20
2143,25-07-2015,canned beer,2.50
3657,22-01-2015,sausage,2.75
4369,25-08-2015,beverages,3.40
2639,12-11-2015,pip fruit,1.80
2706,14-08-2015,sausage,2.75
2133,05-08-2015,soda,1.99
3635,23-07-2015,beef,4.50
2734,30-03-2015,whipped/sour cream,1.49
1080,14-05-2015,root vegetables,2.20
4413,11-10-2015,hamburger meat,2.11
1729,28-08-2015,meat,5.16
2167,18-10-2015,tropical fruit,1.50
1391,19-03-2015,sausage,2.75
3347,05-06-2015,sausage,2.75
4091,28-12-2015,yogurt,1.80
4589,10-07-2015,white bread,1.90
3590,27-02-2015,sausage,2.75
4147,02-01-2015,white wine,3.33
4187,14-09-2015,pip fruit,1.80
2613,11-04-2015,soda,1.99
4197,03-11-2015,soda,1.99
4553,13-06-2015,curd,1.24
3045,26-03-2015,tropical fruit,1.50
2079,19-07-2015,curd,1.24
1108,30-07-2015,brown bread,2.45
4306,26-04-2015,domestic eggs,1.40
2761,02-03-2015,chocolate,1.80
3931,08-03-2015,soda,1.99
4351,08-05-2015,cooking chocolate,1.80
2788,03-09-2015,butter,1.88
3962,28-05-2015,pork,1.35
3690,21-05-2015,sausage,2.75
4937,28-06-2015,shopping bags,0.50
2544,20-01-2015,tropical fruit,1.50
2439,31-10-2015,bottled water,3.73
2952,11-08-2015,citrus fruit,1.70
1472,19-09-2015,root vegetables,2.20
3781,21-04-2015,root vegetables,2.20
1079,09-09-2015,rolls/buns,1.00
4636,05-01-2015,yogurt,1.80
4644,25-08-2015,dog food,3.70
2226,17-02-2015,other vegetables,2.50
4477,15-02-2015,hamburger meat,2.11
3132,29-08-2015,berries,2.94
4295,24-03-2015,sausage,2.75
2918,11-12-2015,bottled water,3.73
3167,03-02-2015,chocolate,1.80
1993,22-05-2015,root vegetables,2.20
4643,08-08-2015,tidbits,4.41
3999,06-02-2015,whole milk,1.20
2625,22-03-2015,citrus fruit,1.70
2398,08-01-2015,tropical fruit,1.50
2945,19-07-2015,chicken,3.67
3523,26-04-2015,newspapers,4.71
1726,26-12-2015,other vegetables,2.50
4540,24-02-2015,butter,1.88
4479,10-02-2015,semi-finished bread,1.12
1472,11-02-2015,bottled beer,3.07
1149,12-12-2015,seasonal products,1.87
2504,02-08-2015,pork,1.35
4835,09-12-2015,whole milk,1.20
1832,17-11-2015,sausage,2.75
1403,25-03-2015,salty snack,1.80
4856,18-01-2015,root vegetables,2.20
3369,22-02-2015,frankfurter,2.00
4364,24-12-2015,other vegetables,2.50
4686,12-11-2015,chocolate,1.80
2876,22-03-2015,sausage,2.75
1449,26-01-2015,finished products,1.97
3499,04-05-2015,whole milk,1.20
3462,16-05-2015,shopping bags,0.50
1512,23-02-2015,whole milk,1.20
1551,14-01-2015,soda,1.99
3993,18-02-2015,rolls/buns,1.00
3494,25-03-2015,seasonal products,1.87
1819,25-06-2015,pip fruit,1.80
3581,06-09-2015,UHT-milk,2.50
3763,29-04-2015,canned beer,2.50
2807,03-07-2015,tropical fruit,1.50
1133,26-03-2015,pork,1.35
4923,19-04-2015,other vegetables,2.50
3912,06-01-2015,berries,2.94
4312,19-10-2015,bottled water,3.73
3141,13-08-2015,waffles,2.24
5000,10-02-2015,soda,1.99
3327,30-04-2015,soda,1.99
1058,06-04-2015,sausage,2.75
4397,03-04-2015,pastry,4.81
3694,27-10-2015,frozen meals,2.18
3346,11-05-2015,tropical fruit,1.50
1039,31-05-2015,salty snack,1.80
1081,21-01-2015,tropical fruit,1.50
3064,02-01-2015,pork,1.35
4794,27-10-2015,ham,2.59
4933,02-01-2015,sausage,2.75
3312,13-10-2015,domestic eggs,1.40
1303,29-05-2015,whole milk,1.20
4756,29-03-2015,other vegetables,2.50
3595,06-08-2015,bottled beer,3.07
2747,02-02-2015,ham,2.59
4113,13-08-2015,frankfurter,2.00
2882,26-04-2015,sausage,2.75
1980,15-10-2015,bottled water,3.73
3534,11-11-2015,sausage,2.75
4452,23-11-2015,pork,1.35
1883,26-05-2015,frankfurter,2.00
4160,12-08-2015,Instant food products,2.45
3212,18-04-2015,ham,2.59
2327,08-12-2015,bottled beer,3.07
1874,29-07-2015,frozen vegetables,3.90
4439,01-01-2015,butter,1.88
4883,10-01-2015,berries,2.94
1873,22-02-2015,frankfurter,2.00
4228,18-04-2015,tropical fruit,1.50
2868,04-12-2015,beef,4.50
4102,23-09-2015,frankfurter,2.00
1013,02-10-2015,white bread,1.90
1928,15-08-2015,citrus fruit,1.70
2064,21-08-2015,whole milk,1.20
3416,15-11-2015,frozen meals,2.18
1536,05-01-2015,frankfurter,2.00
1953,09-03-2015,beef,4.50
1327,04-07-2015,sausage,2.75
3415,27-05-2015,pet care,4.03
2517,22-03-2015,napkins,1.50
4334,12-10-2015,frankfurter,2.00
4515,15-06-2015,soda,1.99
1527,20-04-2015,citrus fruit,1.70
1726,02-11-2015,other vegetables,2.50
4734,10-02-2015,sausage,2.75
2356,15-06-2015,beef,4.50
2244,29-03-2015,other vegetables,2.50
4281,03-04-2015,rolls/buns,1.00
2977,14-04-2015,other vegetables,2.50
2119,24-09-2015,other vegetables,2.50
3208,24-06-2015,root vegetables,2.20
2663,18-05-2015,cat food,3.99
3344,01-04-2015,whole milk,1.20
3592,14-12-2015,oil,3.38
2106,24-11-2015,frankfurter,2.00
3356,23-05-2015,tropical fruit,1.50
3227,30-11-2015,soda,1.99
1505,27-07-2015,shopping bags,0.50
1035,24-04-2015,whole milk,1.20
4312,14-12-2015,sausage,2.75
1253,20-06-2015,sausage,2.75
2260,30-10-2015,sausage,2.75
3710,22-08-2015,whole milk,1.20
1846,29-11-2015,sausage,2.75
3520,09-11-2015,detergent,4.13
2816,19-06-2015,pastry,4.81
1051,10-11-2015,fish,3.18
1754,08-07-2015,canned beer,2.50
3593,31-08-2015,canned beer,2.50
1421,07-08-2015,bottled beer,3.07
3104,04-06-2015,rolls/buns,1.00
1283,30-05-2015,bottled water,3.73
1130,18-09-2015,bottled water,3.73
2816,01-10-2015,rolls/buns,1.00
4594,23-06-2015,meat,5.16
4192,16-12-2015,yogurt,1.80
3208,20-11-2015,rolls/buns,1.00
1949,11-04-2015,soda,1.99
4268,25-04-2015,rolls/buns,1.00
2672,17-01-2015,frozen meals,2.18
2372,03-09-2015,other vegetables,2.50
4482,07-08-2015,dishes,6.99
1048,06-10-2015,rolls/buns,1.00
4831,19-02-2015,rolls/buns,1.00
3441,12-04-2015,other vegetables,2.50
3380,11-11-2015,coffee,1.62
1654,09-11-2015,frozen dessert,2.61
2408,21-06-2015,ham,2.59
4699,01-08-2015,frankfurter,2.00
2670,29-04-2015,yogurt,1.80
4292,18-08-2015,citrus fruit,1.70
4303,22-02-2015,sausage,2.75
2011,22-03-2015,frankfurter,2.00
3657,29-09-2015,liver loaf,2.32
1435,14-01-2015,pork,1.35
4445,20-05-2015,frozen fish,4.20
4030,15-08-2015,herbs,1.29
1204,11-04-2015,grapes,4.50
1235,01-01-2015,sausage,2.75
3984,03-02-2015,frankfurter,2.00
3637,25-11-2015,frankfurter,2.00
1931,02-07-2015,chocolate,1.80
4486,23-10-2015,frankfurter,2.00
4529,03-01-2015,whole milk,1.20
1827,07-05-2015,sausage,2.75
3054,27-05-2015,tropical fruit,1.50
2524,21-10-2015,herbs,1.29
1855,09-11-2015,ham,2.59
3242,23-02-2015,frankfurter,2.00
4431,21-08-2015,chicken,3.67
4555,23-07-2015,tropical fruit,1.50
4299,08-02-2015,citrus fruit,1.70
2905,22-10-2015,tropical fruit,1.50
3323,09-12-2015,beef,4.50
2796,17-10-2015,other vegetables,2.50
2129,04-03-2015,bottled beer,3.07
1501,17-08-2015,bottled water,3.73
2814,17-07-2015,newspapers,4.71
1105,22-05-2015,bottled water,3.73
3798,04-09-2015,curd,1.24
3025,21-04-2015,citrus fruit,1.70
4592,13-07-2015,citrus fruit,1.70
4463,03-11-2015,pork,1.35
2916,13-06-2015,house keeping products,2.32
1838,25-03-2015,tropical fruit,1.50
1126,17-05-2015,newspapers,4.71
2800,02-10-2015,pip fruit,1.80
4485,25-07-2015,root vegetables,2.20
3262,08-07-2015,whole milk,1.20
4030,22-12-2015,pip fruit,1.80
3370,03-02-2015,soda,1.99
3489,01-09-2015,misc. beverages,3.47
2386,03-01-2015,beverages,3.40
3774,16-02-2015,ice cream,4.55
3818,13-05-2015,other vegetables,2.50
3434,10-06-2015,chicken,3.67
3438,27-12-2015,grapes,4.50
1140,01-05-2015,photo/film,4.32
1051,12-10-2015,tropical fruit,1.50
3071,26-03-2015,coffee,1.62
3872,28-03-2015,specialty chocolate,4.80
4215,30-06-2015,specialty bar,3.47
3806,15-03-2015,yogurt,1.80
1869,16-05-2015,root vegetables,2.20
1668,05-05-2015,chicken,3.67
1163,14-12-2015,whole milk,1.20
4787,17-05-2015,sausage,2.75
4811,11-01-2015,butter milk,2.66
4364,05-09-2015,sausage,2.75
4572,02-08-2015,UHT-milk,2.50
3222,05-08-2015,shopping bags,0.50
3404,24-03-2015,pasta,3.12
2221,18-12-2015,soda,1.99
3646,31-01-2015,pip fruit,1.80
4102,15-07-2015,fish,3.18
2718,12-06-2015,canned beer,2.50
1403,16-05-2015,hamburger meat,2.11
4548,30-05-2015,whole milk,1.20
4340,06-08-2015,pork,1.35
2856,21-08-2015,meat,5.16
1041,02-04-2015,hamburger meat,2.11
1564,19-06-2015,tropical fruit,1.50
4552,17-10-2015,whole milk,1.20
2516,31-07-2015,light bulbs,4.73
4246,13-06-2015,yogurt,1.80
1090,21-10-2015,ice cream,4.55
2889,20-01-2015,citrus fruit,1.70
2229,31-01-2015,pet care,4.03
4558,05-04-2015,whipped/sour cream,1.49
2018,20-04-2015,chicken,3.67
4898,26-07-2015,sausage,2.75
4998,14-10-2015,rolls/buns,1.00
2165,28-01-2015,soda,1.99
3075,15-10-2015,other vegetables,2.50
3973,28-01-2015,root vegetables,2.20
3775,27-10-2015,root vegetables,2.20
3135,26-07-2015,yogurt,1.80
2738,25-07-2015,other vegetables,2.50
4455,24-10-2015,yogurt,1.80
2780,03-09-2015,liver loaf,2.32
3593,27-05-2015,tropical fruit,1.50
1876,16-06-2015,tropical fruit,1.50
4694,18-11-2015,hamburger meat,2.11
4273,01-06-2015,margarine,1.30
4968,13-11-2015,bottled beer,3.07
2449,21-04-2015,bottled beer,3.07
1536,02-05-2015,whole milk,1.20
2188,28-11-2015,rolls/buns,1.00
4197,13-05-2015,butter,1.88
2379,11-08-2015,hamburger meat,2.11
4696,18-08-2015,chewing gum,0.74
2680,03-01-2015,sausage,2.75
4525,11-05-2015,liqueur,3.60
1098,12-11-2015,grapes,4.50
1222,07-08-2015,canned beer,2.50
2316,08-06-2015,canned beer,2.50
1950,14-06-2015,other vegetables,2.50
3186,03-08-2015,ham,2.59
2540,05-03-2015,sausage,2.75
1789,11-06-2015,beef,4.50
1574,04-08-2015,specialty chocolate,4.80
2152,23-07-2015,butter,1.88
1493,01-10-2015,semi-finished bread,1.12
3044,09-05-2015,coffee,1.62
2874,09-09-2015,pip fruit,1.80
3556,30-09-2015,hamburger meat,2.11
3255,24-05-2015,rolls/buns,1.00
2521,14-12-2015,root vegetables,2.20
3220,14-10-2015,pork,1.35
1381,06-03-2015,other vegetables,2.50
4050,06-07-2015,chicken,3.67
1872,29-01-2015,misc. beverages,3.47
4127,11-04-2015,canned beer,2.50
2833,14-08-2015,citrus fruit,1.70
2357,23-09-2015,waffles,2.24
2654,03-03-2015,root vegetables,2.20
4852,28-04-2015,yogurt,1.80
2222,21-07-2015,berries,2.94
2340,12-07-2015,sausage,2.75
1987,15-10-2015,citrus fruit,1.70
3570,02-09-2015,UHT-milk,2.50
1320,19-01-2015,finished products,1.97
2209,20-07-2015,cat food,3.99
2500,30-03-2015,canned beer,2.50
3315,12-09-2015,canned beer,2.50
2548,16-11-2015,fruit/vegetable juice,2.00
4473,07-09-2015,pork,1.35
2271,16-06-2015,frankfurter,2.00
4336,10-10-2015,sausage,2.75
2763,01-02-2015,pork,1.35
2780,11-10-2015,liquor,1.80
2632,16-01-2015,frozen meals,2.18
2568,20-08-2015,beef,4.50
1729,23-07-2015,frankfurter,2.00
3878,28-07-2015,frankfurter,2.00
1225,26-03-2015,dessert,3.96
1924,17-11-2015,root vegetables,2.20
4335,10-06-2015,sausage,2.75
3182,12-03-2015,butter,1.88
4303,23-08-2015,other vegetables,2.50
3042,02-10-2015,whole milk,1.20
4493,29-10-2015,frankfurter,2.00
4194,07-02-2015,bottled water,3.73
3031,18-12-2015,pip fruit,1.80
3891,03-07-2015,rolls/buns,1.00
1062,16-04-2015,tropical fruit,1.50
2469,23-03-2015,other vegetables,2.50
3719,03-09-2015,meat,5.16
3322,11-02-2015,bottled beer,3.07
1336,10-03-2015,pet care,4.03
1067,20-07-2015,rolls/buns,1.00
1998,15-05-2015,root vegetables,2.20
1076,14-10-2015,ham,2.59
1992,02-08-2015,rolls/buns,1.00
1261,21-05-2015,rolls/buns,1.00
4409,15-01-2015,UHT-milk,2.50
3031,30-08-2015,frankfurter,2.00
2129,18-03-2015,whole milk,1.20
1684,03-01-2015,whole milk,1.20
4240,18-09-2015,citrus fruit,1.70
2750,14-09-2015,other vegetables,2.50
1379,13-07-2015,popcorn,4.28
4243,22-08-2015,canned beer,2.50
2469,12-01-2015,pork,1.35
2346,17-09-2015,chicken,3.67
2366,18-08-2015,UHT-milk,2.50
2374,23-06-2015,brandy,5.89
1721,15-10-2015,other vegetables,2.50
2877,10-04-2015,pip fruit,1.80
3848,11-10-2015,bottled beer,3.07
4344,01-03-2015,sausage,2.75
3475,10-06-2015,bottled beer,3.07
3650,17-07-2015,other vegetables,2.50
2318,16-01-2015,other vegetables,2.50
1776,02-03-2015,whole milk,1.20
3120,07-07-2015,yogurt,1.80
1194,13-05-2015,butter,1.88
2089,17-04-2015,canned beer,2.50
2095,06-04-2015,pip fruit,1.80
1736,29-08-2015,rolls/buns,1.00
3718,12-07-2015,canned beer,2.50
4950,22-04-2015,rolls/buns,1.00
2481,24-11-2015,rolls/buns,1.00
1296,06-11-2015,pip fruit,1.80
2824,07-12-2015,pork,1.35
4852,29-06-2015,frankfurter,2.00
1648,27-02-2015,sausage,2.75
3307,06-10-2015,citrus fruit,1.70
4259,24-06-2015,brown bread,2.45
2587,02-06-2015,soda,1.99
4303,08-04-2015,canned beer,2.50
1325,26-05-2015,bottled water,3.73
3351,14-10-2015,pork,1.35
1623,18-01-2015,frozen meals,2.18
3119,20-02-2015,chicken,3.67
1211,24-05-2015,rolls/buns,1.00
4146,09-02-2015,pork,1.35
1753,26-02-2015,sausage,2.75
4664,26-05-2015,rolls/buns,1.00
3827,03-11-2015,soda,1.99
1098,27-09-2015,root vegetables,2.20
4338,27-08-2015,beverages,3.40
3712,20-12-2015,sausage,2.75
1505,27-10-2015,frankfurter,2.00
4478,02-08-2015,UHT-milk,2.50
4150,23-08-2015,whole milk,1.20
1118,25-12-2015,whole milk,1.20
2537,07-05-2015,sausage,2.75
1996,10-05-2015,canned beer,2.50
4267,13-09-2015,sausage,2.75
4424,16-10-2015,beef,4.50
1948,06-05-2015,baking powder,3.32
3495,01-02-2015,canned beer,2.50
2327,18-03-2015,frankfurter,2.00
3356,12-01-2015,meat,5.16
3926,23-03-2015,yogurt,1.80
4105,03-12-2015,sausage,2.75
1884,05-08-2015,root vegetables,2.20
4799,09-02-2015,canned beer,2.50
4915,18-09-2015,canned beer,2.50
2643,01-12-2015,tropical fruit,1.50
3927,03-09-2015,tropical fruit,1.50
2410,18-11-2015,citrus fruit,1.70
1855,28-04-2015,chicken,3.67
1245,02-03-2015,dessert,3.96
3138,19-04-2015,other vegetables,2.50
1178,19-04-2015,other vegetables,2.50
1870,05-09-2015,onions,1.84
4660,10-07-2015,frozen vegetables,3.90
3241,09-08-2015,chicken,3.67
4661,18-04-2015,chicken,3.67
2407,10-03-2015,onions,1.84
2440,19-06-2015,meat,5.16
4634,15-05-2015,ham,2.59
4112,14-02-2015,citrus fruit,1.70
2428,21-08-2015,yogurt,1.80
3604,14-03-2015,frankfurter,2.00
3671,03-08-2015,dishes,6.99
2880,19-06-2015,pork,1.35
3946,19-06-2015,butter milk,2.66
4495,20-06-2015,coffee,1.62
3355,02-12-2015,chicken,3.67
3959,27-05-2015,pip fruit,1.80
1583,23-11-2015,soda,1.99
3998,28-03-2015,yogurt,1.80
4509,29-11-2015,berries,2.94
1008,03-10-2015,hamburger meat,2.11
4894,23-12-2015,canned beer,2.50
4252,10-04-2015,turkey,3.42
3428,16-03-2015,beverages,3.40
1988,08-09-2015,bottled beer,3.07
4662,19-10-2015,pastry,4.81
3165,27-11-2015,pip fruit,1.80
1920,16-02-2015,whole milk,1.20
4157,04-01-2015,hamburger meat,2.11
1945,30-04-2015,chocolate,1.80
4104,27-07-2015,other vegetables,2.50
2865,14-05-2015,oil,3.38
4788,28-04-2015,beef,4.50
1903,25-01-2015,bottled water,3.73
3578,16-05-2015,sausage,2.75
2238,06-12-2015,sausage,2.75
3671,11-10-2015,pork,1.35
3088,03-12-2015,frankfurter,2.00
1832,17-04-2015,whipped/sour cream,1.49
4785,13-09-2015,canned beer,2.50
1322,19-10-2015,pork,1.35
4439,18-03-2015,whole milk,1.20
1698,26-06-2015,other vegetables,2.50
3558,25-04-2015,whole milk,1.20
3026,01-01-2015,citrus fruit,1.70
1127,15-10-2015,other vegetables,2.50
4153,05-02-2015,other vegetables,2.50
4258,22-04-2015,beef,4.50
2582,14-11-2015,meat,5.16
1466,01-12-2015,sausage,2.75
4185,16-01-2015,pip fruit,1.80
1889,09-02-2015,beef,4.50
3396,14-05-2015,chicken,3.67
3412,26-01-2015,canned beer,2.50
3321,13-07-2015,sausage,2.75
3484,21-11-2015,whole milk,1.20
1937,17-10-2015,whole milk,1.20
2101,20-12-2015,sausage,2.75
4006,18-12-2015,coffee,1.62
3732,18-07-2015,nuts/prunes,2.09
1276,28-04-2015,sausage,2.75
4916,01-03-2015,coffee,1.62
2040,06-04-2015,chicken,3.67
2255,01-05-2015,tropical fruit,1.50
1239,25-07-2015,finished products,1.97
4992,20-06-2015,whole milk,1.20
3225,12-06-2015,beef,4.50
2421,21-11-2015,abrasive cleaner,1.76
3303,25-01-2015,bottled water,3.73
3455,13-09-2015,other vegetables,2.50
1484,07-10-2015,beef,4.50
3591,11-05-2015,whole milk,1.20
2487,27-03-2015,tropical fruit,1.50
1380,20-04-2015,candy,1.94
2786,25-03-2015,sausage,2.75
1885,27-05-2015,butter milk,2.66
1295,28-01-2015,sausage,2.75
2184,23-01-2015,frankfurter,2.00
4054,06-05-2015,rolls/buns,1.00
3972,08-06-2015,canned beer,2.50
1216,19-06-2015,canned beer,2.50
1347,31-07-2015,whole milk,1.20
4190,04-04-2015,citrus fruit,1.70
3264,05-04-2015,margarine,1.30
2942,01-02-2015,sausage,2.75
2932,22-01-2015,sausage,2.75
4049,01-08-2015,chicken,3.67
1954,06-08-2015,shopping bags,0.50
2321,16-06-2015,tropical fruit,1.50
2930,23-03-2015,other vegetables,2.50
3214,27-03-2015,butter,1.88
4877,20-06-2015,root vegetables,2.20
1277,07-06-2015,photo/film,4.32
2239,13-12-2015,sausage,2.75
4929,26-03-2015,turkey,3.42
1390,02-03-2015,pastry,4.81
1870,09-09-2015,pork,1.35
3405,03-04-2015,photo/film,4.32
2338,08-12-2015,photo/film,4.32
2051,11-09-2015,frankfurter,2.00
3504,06-07-2015,pip fruit,1.80
3405,13-04-2015,beef,4.50
2512,02-09-2015,whole milk,1.20
4038,06-11-2015,root vegetables,2.20
1759,26-09-2015,bottled beer,3.07
2813,01-10-2015,whole milk,1.20
3055,18-08-2015,other vegetables,2.50
1733,18-03-2015,whole milk,1.20
1913,18-08-2015,finished products,1.97
4864,27-03-2015,bottled beer,3.07
4812,27-05-2015,beverages,3.40
3042,05-10-2015,other vegetables,2.50
4988,04-10-2015,canned beer,2.50
4486,21-07-2015,canned beer,2.50
4069,03-05-2015,rolls/buns,1.00
4600,14-07-2015,beef,4.50
3588,05-05-2015,citrus fruit,1.70
4175,29-01-2015,rolls/buns,1.00
2599,30-07-2015,specialty chocolate,4.80
4671,15-07-2015,frankfurter,2.00
2270,09-06-2015,whole milk,1.20
2494,05-05-2015,pip fruit,1.80
1406,28-12-2015,tropical fruit,1.50
3910,18-12-2015,liver loaf,2.32
3358,21-02-2015,citrus fruit,1.70
1943,14-01-2015,frankfurter,2.00
1995,12-06-2015,soft cheese,2.00
4666,24-02-2015,ham,2.59
1994,11-03-2015,whole milk,1.20
4892,09-01-2015,other vegetables,2.50
3531,29-08-2015,sausage,2.75
1148,15-04-2015,yogurt,1.80
1787,31-10-2015,frozen meals,2.18
4215,31-05-2015,pork,1.35
2158,01-08-2015,rolls/buns,1.00
2510,29-09-2015,margarine,1.30
3180,19-10-2015,root vegetables,2.20
3207,08-08-2015,pip fruit,1.80
1226,12-11-2015,beef,4.50
1682,25-06-2015,pip fruit,1.80
1509,04-11-2015,chicken,3.67
2364,21-06-2015,whole milk,1.20
4679,10-11-2015,chicken,3.67
4324,05-01-2015,sausage,2.75
3497,14-06-2015,other vegetables,2.50
1008,21-07-2015,tropical fruit,1.50
4572,29-10-2015,sausage,2.75
4030,04-07-2015,chicken,3.67
2422,12-08-2015,hamburger meat,2.11
2694,24-11-2015,whole milk,1.20
3481,03-08-2015,citrus fruit,1.70
3821,03-01-2015,ham,2.59
3752,20-08-2015,whole milk,1.20
3262,08-12-2015,frankfurter,2.00
1370,28-06-2015,white bread,1.90
1090,31-08-2015,sausage,2.75
3862,18-11-2015,sliced cheese,3.69
4495,08-04-2015,frankfurter,2.00
2492,01-11-2015,yogurt,1.80
4688,01-08-2015,root vegetables,2.20
3633,14-07-2015,rolls/buns,1.00
3709,08-08-2015,berries,2.94
1220,09-02-2015,rolls/buns,1.00
4236,25-11-2015,beef,4.50
3308,19-08-2015,chicken,3.67
1183,12-06-2015,sausage,2.75
1999,24-08-2015,rolls/buns,1.00
4828,11-10-2015,rolls/buns,1.00
3608,12-10-2015,sausage,2.75
3983,09-09-2015,butter milk,2.66
3460,24-07-2015,pork,1.35
1703,21-02-2015,pork,1.35
1969,23-07-2015,sausage,2.75
2646,03-06-2015,soda,1.99
1777,22-04-2015,tropical fruit,1.50
4967,06-08-2015,pip fruit,1.80
